"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","pc1"
"146",918486,"E02002354","E02002393",121,0,0,0,11,0,0,93,11,3,3,0,4156.06995425688,0.130656074299863,15.8093849902834,12.8093849902834
"147",918487,"E02002354","E02002394",23,0,0,0,5,0,1,16,1,0,0,0,4738.36557288951,0.116292591990339,2.67472961577779,2.67472961577779
"148",918497,"E02002354","E02002404",22,0,0,0,4,1,0,15,2,0,0,0,5556.95151283571,0.098730327830123,2.17206721226271,2.17206721226271
"149",918645,"E02002354","E02006861",46,0,0,0,3,0,0,35,7,0,1,0,2605.40535777915,0.178163452801206,8.19551882885549,8.19551882885549
"150",919515,"E02002358","E02002344",5,0,0,0,0,0,0,4,1,0,0,0,4776.7044110814,0.115404297387441,0.577021486937204,0.577021486937204
"151",919518,"E02002358","E02002347",9,0,0,0,0,0,0,8,1,0,0,0,6205.61401990646,0.0867178435591477,0.78046059203233,0.78046059203233
"152",919520,"E02002358","E02002349",12,0,0,0,0,0,0,12,0,0,0,0,2613.51091216413,0.177874864070353,2.13449836884424,2.13449836884424
"153",919523,"E02002358","E02002352",14,0,0,0,5,0,0,8,1,0,0,0,4760.73292280907,0.115773522457338,1.62082931440273,1.62082931440273
"154",919524,"E02002358","E02002353",10,0,0,0,0,0,0,8,1,1,0,0,3880.58024450528,0.138056969958614,1.38056969958614,0.380569699586145
"155",919525,"E02002358","E02002354",11,0,0,0,1,0,0,10,0,0,0,0,5841.2421594632,0.0932733139442839,1.02600645338712,1.02600645338712
"156",919528,"E02002358","E02002358",244,0,0,1,12,2,3,86,10,4,126,0,0,0.3,73.2,69.2
"157",919531,"E02002358","E02002361",20,0,0,0,2,0,0,15,3,0,0,0,3692.45583675617,0.143350303182071,2.86700606364142,2.86700606364142
"158",919533,"E02002358","E02002363",14,0,0,0,1,0,0,11,1,1,0,0,5009.32213861788,0.11015825866091,1.54221562125274,0.542215621252739
"159",919534,"E02002358","E02002364",106,0,0,0,15,1,0,52,4,0,34,0,1122.78070404124,0.239661217857812,25.4040890929281,25.4040890929281
"160",919535,"E02002358","E02002366",19,0,0,0,3,0,0,14,2,0,0,0,2508.17764006316,0.181661841781872,3.45157499385557,3.45157499385557
"161",919536,"E02002358","E02002367",4,0,0,0,0,0,0,4,0,0,0,0,6198.75173409895,0.0868369417944887,0.347347767177955,0.347347767177955
"162",919538,"E02002358","E02002369",13,0,0,0,2,0,0,7,2,0,2,0,2134.1164244061,0.195773658777082,2.54505756410207,2.54505756410207
"163",919540,"E02002358","E02002371",26,0,0,0,5,0,0,18,2,0,1,0,5045.66522679306,0.109360463346386,2.84337204700603,2.84337204700603
"164",919544,"E02002358","E02002376",11,0,0,0,3,0,0,7,1,0,0,0,3442.00104306352,0.150713738500139,1.65785112350153,1.65785112350153
"165",919545,"E02002358","E02002377",17,0,0,0,3,0,0,13,1,0,0,0,4517.62293538252,0.12154175758715,2.06620987898155,2.06620987898155
"166",919546,"E02002358","E02002379",25,0,0,0,3,0,1,16,1,1,3,0,2419.78658213092,0.184901852677131,4.62254631692829,3.62254631692829
"167",919549,"E02002358","E02002382",11,0,0,0,1,0,0,9,1,0,0,0,4407.52703947027,0.124247689193326,1.36672458112658,1.36672458112658
"168",919551,"E02002358","E02002384",48,0,0,0,3,0,0,42,3,0,0,0,6351.89132484582,0.0842176239307214,4.04244594867463,4.04244594867463
"169",919556,"E02002358","E02002389",6,0,0,0,1,0,0,5,0,0,0,0,3686.83141352882,0.143511646466323,0.861069878797935,0.861069878797935
"170",919557,"E02002358","E02002390",73,0,0,1,22,2,0,40,3,1,4,0,3340.35450914999,0.153808999986385,11.2280569990061,10.2280569990061
"171",919560,"E02002358","E02002393",117,0,0,0,27,1,0,74,15,0,0,0,5494.60906177867,0.099969052420989,11.6963791332557,11.6963791332557
"172",919561,"E02002358","E02002394",44,0,0,0,10,0,1,29,3,0,1,0,4919.13063523798,0.11216335636221,4.93518767993725,4.93518767993725
"173",919571,"E02002358","E02002404",38,0,0,0,3,1,0,27,3,2,2,0,6211.29994657674,0.0866192853493479,3.29153284327522,1.29153284327522
"174",919714,"E02002358","E02006861",17,0,0,0,1,0,0,13,3,0,0,0,7212.59112408203,0.070899561577147,1.2052925468115,1.2052925468115
"175",920557,"E02002361","E02002344",3,0,0,0,1,0,0,2,0,0,0,0,2881.59168959273,0.168589056726406,0.505767170179219,0.505767170179219
"176",920560,"E02002361","E02002347",15,0,0,0,1,0,0,13,1,0,0,0,3293.74762540899,0.155249414516221,2.32874121774331,2.32874121774331
"177",920562,"E02002361","E02002349",32,0,0,0,3,0,0,18,3,2,6,0,1914.65337687773,0.204558050204275,6.5458576065368,4.5458576065368
"178",920565,"E02002361","E02002352",44,0,0,1,2,1,0,27,3,1,9,0,1787.30251162213,0.209835097517749,9.23274429078093,8.23274429078093
"179",920566,"E02002361","E02002353",32,0,0,0,0,0,0,18,0,0,14,0,1290.84830638317,0.231739249119737,7.41565597183158,7.41565597183158
"180",920567,"E02002361","E02002354",18,0,0,0,2,0,0,13,3,0,0,0,2474.29217175109,0.182897162311899,3.29214892161419,3.29214892161419
"181",920570,"E02002361","E02002358",13,0,0,0,1,0,0,10,1,1,0,0,3692.45583675617,0.143350303182071,1.86355394136693,0.863553941366926
"182",920573,"E02002361","E02002361",109,0,0,0,4,2,0,39,3,2,59,0,0,0.3,32.7,30.7
"183",920575,"E02002361","E02002363",38,0,0,1,4,1,0,24,4,0,4,0,1327.94068701971,0.230026458037367,8.74100540541996,8.74100540541996
